athlete,age,country,year,date,sport,gold,silver,bronze,total,combined_text,clean_text,cluster
Leontien Zijlaard-van Moorsel,30.0,Netherlands,2000,1/10/2000,Cycling,3,1,0,4,Leontien Zijlaard-van Moorsel 30.0 Netherlands 1/10/2000 Cycling,leontien zijlaard van moorsel netherlands cycling,1
Petter Northug Jr.,24.0,Norway,2010,28/02/2010,Cross Country Skiing,2,1,1,4,Petter Northug Jr. 24.0 Norway 28/02/2010 Cross Country Skiing,petter northug norway cross country skiing,1
Ole Einar Bjørndalen,28.0,Norway,2002,24/02/2002,Biathlon,4,0,0,4,Ole Einar Bjørndalen 28.0 Norway 24/02/2002 Biathlon,ole einar rndalen norway biathlon,1
Janica Kostelic,20.0,Croatia,2002,24/02/2002,Alpine Skiing,3,1,0,4,Janica Kostelic 20.0 Croatia 24/02/2002 Alpine Skiing,janica kostelic croatia alpine skiing,1
Nathan Adrian,23.0,United States,2012,12/8/2012,Swimming,2,1,0,3,Nathan Adrian 23.0 United States 12/8/2012 Swimming,nathan adrian united state swimming,0
Yannick Agnel,20.0,France,2012,12/8/2012,Swimming,2,1,0,3,Yannick Agnel 20.0 France 12/8/2012 Swimming,yannick agnel france swimming,1
Brittany Elmslie,18.0,Australia,2012,12/8/2012,Swimming,1,2,0,3,Brittany Elmslie 18.0 Australia 12/8/2012 Swimming,brittany elmslie australia swimming,1
Matt Grevers,27.0,United States,2012,12/8/2012,Swimming,2,1,0,3,Matt Grevers 27.0 United States 12/8/2012 Swimming,matt grevers united state swimming,0
Ryosuke Irie,22.0,Japan,2012,12/8/2012,Swimming,0,2,1,3,Ryosuke Irie 22.0 Japan 12/8/2012 Swimming,ryosuke irie japan swimming,1
Cullen Jones,28.0,United States,2012,12/8/2012,Swimming,1,2,0,3,Cullen Jones 28.0 United States 12/8/2012 Swimming,cullen jones united state swimming,0
Ranomi Kromowidjojo,21.0,Netherlands,2012,12/8/2012,Swimming,2,1,0,3,Ranomi Kromowidjojo 21.0 Netherlands 12/8/2012 Swimming,ranomi kromowidjojo netherlands swimming,1
Camille Muffat,22.0,France,2012,12/8/2012,Swimming,1,1,1,3,Camille Muffat 22.0 France 12/8/2012 Swimming,camille muffat france swimming,1
Mel Schlanger,25.0,Australia,2012,12/8/2012,Swimming,1,2,0,3,Mel Schlanger 25.0 Australia 12/8/2012 Swimming,mel schlanger australia swimming,1
