athlete,age,country,year,date,sport,gold,silver,bronze,total,combined_text,clean_text,cluster
Andrea Minguzzi,26.0,Italy,2008,24/08/2008,Wrestling,1,0,0,1,Andrea Minguzzi 26.0 Italy 24/08/2008 Wrestling,andrea minguzzi italy wrestling,1
Mindaugas Mizgaitis,28.0,Lithuania,2008,24/08/2008,Wrestling,0,0,1,1,Mindaugas Mizgaitis 28.0 Lithuania 24/08/2008 Wrestling,mindaugas mizgaitis lithuania wrestling,1
Seyed Mohammadi,28.0,Iran,2008,24/08/2008,Wrestling,0,0,1,1,Seyed Mohammadi 28.0 Iran 24/08/2008 Wrestling,seyed mohammadi iran wrestling,1
Sharvani Muradov,23.0,Russia,2008,24/08/2008,Wrestling,1,0,0,1,Sharvani Muradov 23.0 Russia 24/08/2008 Wrestling,sharvani muradov russia wrestling,1
David Musulbes,36.0,Slovakia,2008,24/08/2008,Wrestling,0,0,1,1,David Musulbes 36.0 Slovakia 24/08/2008 Wrestling,david musulbes slovakia wrestling,1
Marid Mutalimov,28.0,Kazakhstan,2008,24/08/2008,Wrestling,0,0,1,1,Marid Mutalimov 28.0 Kazakhstan 24/08/2008 Wrestling,marid mutalimov kazakhstan wrestling,1
Park Eun-Chul,27.0,South Korea,2008,24/08/2008,Wrestling,0,0,1,1,Park Eun-Chul 27.0 South Korea 24/08/2008 Wrestling,park eun chul south korea wrestling,1
Yury Patrikeyev,28.0,Armenia,2008,24/08/2008,Wrestling,0,0,1,1,Yury Patrikeyev 28.0 Armenia 24/08/2008 Wrestling,yury patrikeyev armenia wrestling,1
Xetaq Qazyumov,25.0,Azerbaijan,2008,24/08/2008,Wrestling,0,0,1,1,Xetaq Qazyumov 25.0 Azerbaijan 24/08/2008 Wrestling,xetaq qazyumov azerbaijan wrestling,1
Jackeline Rentería,22.0,Colombia,2008,24/08/2008,Wrestling,0,0,1,1,Jackeline Rentería 22.0 Colombia 24/08/2008 Wrestling,jackeline renter colombia wrestling,1
Vitaliy R?himov,23.0,Azerbaijan,2008,24/08/2008,Wrestling,0,1,0,1,Vitaliy R?himov 23.0 Azerbaijan 24/08/2008 Wrestling,vitaliy himov azerbaijan wrestling,1
Ramazan Sahin,25.0,Turkey,2008,24/08/2008,Wrestling,1,0,0,1,Ramazan Sahin 25.0 Turkey 24/08/2008 Wrestling,ramazan sahin turkey wrestling,1
Buvaisa Saytiyev,33.0,Russia,2008,24/08/2008,Wrestling,1,0,0,1,Buvaisa Saytiyev 33.0 Russia 24/08/2008 Wrestling,buvaisa saytiyev russia wrestling,1
Mikhail Semyonov,24.0,Belarus,2008,24/08/2008,Wrestling,0,0,1,1,Mikhail Semyonov 24.0 Belarus 24/08/2008 Wrestling,mikhail semyonov belarus wrestling,1
Yelena Shalygina,21.0,Kazakhstan,2008,24/08/2008,Wrestling,0,0,1,1,Yelena Shalygina 21.0 Kazakhstan 24/08/2008 Wrestling,yelena shalygina kazakhstan wrestling,1
Andriy Stadnik,26.0,Ukraine,2008,24/08/2008,Wrestling,0,1,0,1,Andriy Stadnik 26.0 Ukraine 24/08/2008 Wrestling,andriy stadnik ukraine wrestling,1
Mariya Stadnik,20.0,Azerbaijan,2008,24/08/2008,Wrestling,0,0,1,1,Mariya Stadnik 20.0 Azerbaijan 24/08/2008 Wrestling,mariya stadnik azerbaijan wrestling,1
Artur Taymazov,29.0,Uzbekistan,2008,24/08/2008,Wrestling,1,0,0,1,Artur Taymazov 29.0 Uzbekistan 24/08/2008 Wrestling,artur taymazov uzbekistan wrestling,1
Nurbakyt Tengizbayev,25.0,Kazakhstan,2008,24/08/2008,Wrestling,0,0,1,1,Nurbakyt Tengizbayev 25.0 Kazakhstan 24/08/2008 Wrestling,nurbakyt tengizbayev kazakhstan wrestling,1
Kiril Terziev,24.0,Bulgaria,2008,24/08/2008,Wrestling,0,0,1,1,Kiril Terziev 24.0 Bulgaria 24/08/2008 Wrestling,kiril terziev bulgaria wrestling,1
Soslan Tigiyev,24.0,Uzbekistan,2008,24/08/2008,Wrestling,0,1,0,1,Soslan Tigiyev 24.0 Uzbekistan 24/08/2008 Wrestling,soslan tigiyev uzbekistan wrestling,1
Taymuraz Tigiyev,26.0,Kazakhstan,2008,24/08/2008,Wrestling,0,1,0,1,Taymuraz Tigiyev 26.0 Kazakhstan 24/08/2008 Wrestling,taymuraz tigiyev kazakhstan wrestling,1
Otar Tushishvili,30.0,Georgia,2008,24/08/2008,Wrestling,0,0,1,1,Otar Tushishvili 30.0 Georgia 24/08/2008 Wrestling,otar tushishvili georgia wrestling,1
Ruslan Tyumenbayev,22.0,Kyrgyzstan,2008,24/08/2008,Wrestling,0,0,1,1,Ruslan Tyumenbayev 22.0 Kyrgyzstan 24/08/2008 Wrestling,ruslan tyumenbayev kyrgyzstan wrestling,1
Armen Vardanian,25.0,Ukraine,2008,24/08/2008,Wrestling,0,0,1,1,Armen Vardanian 25.0 Ukraine 24/08/2008 Wrestling,armen vardanian ukraine wrestling,1
Radoslav Velikov,24.0,Bulgaria,2008,24/08/2008,Wrestling,0,0,1,1,Radoslav Velikov 24.0 Bulgaria 24/08/2008 Wrestling,radoslav velikov bulgaria wrestling,1
Tonya Verbeek,31.0,Canada,2008,24/08/2008,Wrestling,0,0,1,1,Tonya Verbeek 31.0 Canada 24/08/2008 Wrestling,tonya verbeek canada wrestling,1
Wang Jiao,20.0,China,2008,24/08/2008,Wrestling,1,0,0,1,Wang Jiao 20.0 China 24/08/2008 Wrestling,wang jiao china wrestling,1
Adam Wheeler,27.0,United States,2008,24/08/2008,Wrestling,0,0,1,1,Adam Wheeler 27.0 United States 24/08/2008 Wrestling,adam wheeler united state wrestling,0
Agnieszka Wieszczek,25.0,Poland,2008,24/08/2008,Wrestling,0,0,1,1,Agnieszka Wieszczek 25.0 Poland 24/08/2008 Wrestling,agnieszka wieszczek poland wrestling,1
Xu Li,18.0,China,2008,24/08/2008,Wrestling,0,1,0,1,Xu Li 18.0 China 24/08/2008 Wrestling,china wrestling,1
Yavor Yanakiev,23.0,Bulgaria,2008,24/08/2008,Wrestling,0,0,1,1,Yavor Yanakiev 23.0 Bulgaria 24/08/2008 Wrestling,yavor yanakiev bulgaria wrestling,1
Saori Yoshida,25.0,Japan,2008,24/08/2008,Wrestling,1,0,0,1,Saori Yoshida 25.0 Japan 24/08/2008 Wrestling,saori yoshida japan wrestling,1
Kenichi Yumoto,23.0,Japan,2008,24/08/2008,Wrestling,0,0,1,1,Kenichi Yumoto 23.0 Japan 24/08/2008 Wrestling,kenichi yumoto japan wrestling,1
Stanka Zlateva,25.0,Bulgaria,2008,24/08/2008,Wrestling,0,1,0,1,Stanka Zlateva 25.0 Bulgaria 24/08/2008 Wrestling,stanka zlateva bulgaria wrestling,1
Stephen Abas,26.0,United States,2004,29/08/2004,Wrestling,0,1,0,1,Stephen Abas 26.0 United States 29/08/2004 Wrestling,stephen aba united state wrestling,0
Ara Abrahamian,29.0,Sweden,2004,29/08/2004,Wrestling,0,1,0,1,Ara Abrahamian 29.0 Sweden 29/08/2004 Wrestling,ara abrahamian sweden wrestling,1
Khasan Baroyev,21.0,Russia,2004,29/08/2004,Wrestling,1,0,0,1,Khasan Baroyev 21.0 Russia 29/08/2004 Wrestling,khasan baroyev russia wrestling,1
Mavlet Batyrov,20.0,Russia,2004,29/08/2004,Wrestling,1,0,0,1,Mavlet Batyrov 20.0 Russia 29/08/2004 Wrestling,mavlet batyrov russia wrestling,1
Aleksandr Dokturishivili,24.0,Uzbekistan,2004,29/08/2004,Wrestling,1,0,0,1,Aleksandr Dokturishivili 24.0 Uzbekistan 29/08/2004 Wrestling,aleksandr dokturishivili uzbekistan wrestling,1
Seref Eroglu,28.0,Turkey,2004,29/08/2004,Wrestling,0,1,0,1,Seref Eroglu 28.0 Turkey 29/08/2004 Wrestling,seref eroglu turkey wrestling,1
Iván Fundora,28.0,Cuba,2004,29/08/2004,Wrestling,0,0,1,1,Iván Fundora 28.0 Cuba 29/08/2004 Wrestling,fundora cuba wrestling,1
Karam Gaber,24.0,Egypt,2004,29/08/2004,Wrestling,1,0,0,1,Karam Gaber 24.0 Egypt 29/08/2004 Wrestling,karam gaber egypt wrestling,1
Rulon Gardner,33.0,United States,2004,29/08/2004,Wrestling,0,0,1,1,Rulon Gardner 33.0 United States 29/08/2004 Wrestling,rulon gardner united state wrestling,0
Khadzhimurat Gatsalov,21.0,Russia,2004,29/08/2004,Wrestling,1,0,0,1,Khadzhimurat Gatsalov 21.0 Russia 29/08/2004 Wrestling,khadzhimurat gatsalov russia wrestling,1
Lise Golliot-Legrand,27.0,France,2004,29/08/2004,Wrestling,0,0,1,1,Lise Golliot-Legrand 27.0 France 29/08/2004 Wrestling,lise golliot legrand france wrestling,1
Anna Gomis,30.0,France,2004,29/08/2004,Wrestling,0,0,1,1,Anna Gomis 30.0 France 29/08/2004 Wrestling,anna gomis france wrestling,1
Kyoko Hamaguchi,26.0,Japan,2004,29/08/2004,Wrestling,0,0,1,1,Kyoko Hamaguchi 26.0 Japan 29/08/2004 Wrestling,kyoko hamaguchi japan wrestling,1
Ali Reza Heidari,28.0,Iran,2004,29/08/2004,Wrestling,0,0,1,1,Ali Reza Heidari 28.0 Iran 29/08/2004 Wrestling,ali reza heidari iran wrestling,1
Magamed Ibragimov,21.0,Uzbekistan,2004,29/08/2004,Wrestling,0,1,0,1,Magamed Ibragimov 21.0 Uzbekistan 29/08/2004 Wrestling,magamed ibragimov uzbekistan wrestling,1
Chiharu Icho,22.0,Japan,2004,29/08/2004,Wrestling,0,1,0,1,Chiharu Icho 22.0 Japan 29/08/2004 Wrestling,chiharu icho japan wrestling,1
Kaori Icho,20.0,Japan,2004,29/08/2004,Wrestling,1,0,0,1,Kaori Icho 20.0 Japan 29/08/2004 Wrestling,kaori icho japan wrestling,1
Kenji Inoue,27.0,Japan,2004,29/08/2004,Wrestling,0,0,1,1,Kenji Inoue 27.0 Japan 29/08/2004 Wrestling,kenji inoue japan wrestling,1
Jeong Ji-Hyeon,21.0,South Korea,2004,29/08/2004,Wrestling,1,0,0,1,Jeong Ji-Hyeon 21.0 South Korea 29/08/2004 Wrestling,jeong hyeon south korea wrestling,1
Jamill Kelly,26.0,United States,2004,29/08/2004,Wrestling,0,1,0,1,Jamill Kelly 26.0 United States 29/08/2004 Wrestling,jamill kelly united state wrestling,0
Atryom Kyuregyan,27.0,Greece,2004,29/08/2004,Wrestling,0,0,1,1,Atryom Kyuregyan 27.0 Greece 29/08/2004 Wrestling,atryom kyuregyan greece wrestling,1
Gennady Laliyev,25.0,Kazakhstan,2004,29/08/2004,Wrestling,0,1,0,1,Gennady Laliyev 25.0 Kazakhstan 29/08/2004 Wrestling,gennady laliyev kazakhstan wrestling,1
István Majoros,30.0,Hungary,2004,29/08/2004,Wrestling,1,0,0,1,István Majoros 30.0 Hungary 29/08/2004 Wrestling,istv majoros hungary wrestling,1
Vyacheslav Makarenko,28.0,Belarus,2004,29/08/2004,Wrestling,0,0,1,1,Vyacheslav Makarenko 28.0 Belarus 29/08/2004 Wrestling,vyacheslav makarenko belarus wrestling,1
Gaydar Mamedaliyev,30.0,Russia,2004,29/08/2004,Wrestling,0,1,0,1,Gaydar Mamedaliyev 30.0 Russia 29/08/2004 Wrestling,gaydar mamedaliyev russia wrestling,1
Mkhitar Manukyan,31.0,Kazakhstan,2004,29/08/2004,Wrestling,0,0,1,1,Mkhitar Manukyan 31.0 Kazakhstan 29/08/2004 Wrestling,mkhitar manukyan kazakhstan wrestling,1
Gyuzel Manyurova,26.0,Russia,2004,29/08/2004,Wrestling,0,1,0,1,Gyuzel Manyurova 26.0 Russia 29/08/2004 Wrestling,gyuzel manyurova russia wrestling,1
Sara McMann,23.0,United States,2004,29/08/2004,Wrestling,0,1,0,1,Sara McMann 23.0 United States 29/08/2004 Wrestling,sara mcmann united state wrestling,0
Iryna Merleni-Mykulchyn,22.0,Ukraine,2004,29/08/2004,Wrestling,1,0,0,1,Iryna Merleni-Mykulchyn 22.0 Ukraine 29/08/2004 Wrestling,iryna merleni mykulchyn ukraine wrestling,1
Patricia Miranda,25.0,United States,2004,29/08/2004,Wrestling,0,0,1,1,Patricia Miranda 25.0 United States 29/08/2004 Wrestling,patricia miranda united state wrestling,0
Aleksey Mishin,25.0,Russia,2004,29/08/2004,Wrestling,1,0,0,1,Aleksey Mishin 25.0 Russia 29/08/2004 Wrestling,aleksey mishin russia wrestling,1
Roberto Monzón,26.0,Cuba,2004,29/08/2004,Wrestling,0,1,0,1,Roberto Monzón 26.0 Cuba 29/08/2004 Wrestling,roberto monz cuba wrestling,1
Masoud Moustafa Gokar,26.0,Iran,2004,29/08/2004,Wrestling,0,1,0,1,Masoud Moustafa Gokar 26.0 Iran 29/08/2004 Wrestling,masoud moustafa gokar iran wrestling,1
Mun Ui-Je,29.0,South Korea,2004,29/08/2004,Wrestling,0,1,0,1,Mun Ui-Je 29.0 South Korea 29/08/2004 Wrestling,mun south korea wrestling,1
Makhach Murtazaliyev,20.0,Russia,2004,29/08/2004,Wrestling,0,0,1,1,Makhach Murtazaliyev 20.0 Russia 29/08/2004 Wrestling,makhach murtazaliyev russia wrestling,1
F?rid M?nsurov,22.0,Azerbaijan,2004,29/08/2004,Wrestling,1,0,0,1,F?rid M?nsurov 22.0 Azerbaijan 29/08/2004 Wrestling,rid nsurov azerbaijan wrestling,1
Armen Nazaryan,30.0,Bulgaria,2004,29/08/2004,Wrestling,0,0,1,1,Armen Nazaryan 30.0 Bulgaria 29/08/2004 Wrestling,armen nazaryan bulgaria wrestling,1
Ramaz Nozadze,20.0,Georgia,2004,29/08/2004,Wrestling,0,1,0,1,Ramaz Nozadze 20.0 Georgia 29/08/2004 Wrestling,ramaz nozadze georgia wrestling,1
Mehmet Özal,30.0,Turkey,2004,29/08/2004,Wrestling,0,0,1,1,Mehmet Özal 30.0 Turkey 29/08/2004 Wrestling,mehmet zal turkey wrestling,1
Aydin Polatçi,27.0,Turkey,2004,29/08/2004,Wrestling,0,0,1,1,Aydin Polatçi 27.0 Turkey 29/08/2004 Wrestling,aydin polat turkey wrestling,1
Yandro Quintana,24.0,Cuba,2004,29/08/2004,Wrestling,1,0,0,1,Yandro Quintana 24.0 Cuba 29/08/2004 Wrestling,yandro quintana cuba wrestling,1
Ali Reza Rezaei,28.0,Iran,2004,29/08/2004,Wrestling,0,1,0,1,Ali Reza Rezaei 28.0 Iran 29/08/2004 Wrestling,ali reza rezaei iran wrestling,1
Varteres Samurgashev,24.0,Russia,2004,29/08/2004,Wrestling,0,0,1,1,Varteres Samurgashev 24.0 Russia 29/08/2004 Wrestling,varteres samurgashev russia wrestling,1
Cael Sanderson,25.0,United States,2004,29/08/2004,Wrestling,1,0,0,1,Cael Sanderson 25.0 United States 29/08/2004 Wrestling,cael sanderson united state wrestling,0
Buvaisa Saytiyev,29.0,Russia,2004,29/08/2004,Wrestling,1,0,0,1,Buvaisa Saytiyev 29.0 Russia 29/08/2004 Wrestling,buvaisa saytiyev russia wrestling,1
Sazhid Sazhidov,24.0,Russia,2004,29/08/2004,Wrestling,0,0,1,1,Sazhid Sazhidov 24.0 Russia 29/08/2004 Wrestling,sazhid sazhidov russia wrestling,1
Chikara Tanabe,29.0,Japan,2004,29/08/2004,Wrestling,0,0,1,1,Chikara Tanabe 29.0 Japan 29/08/2004 Wrestling,chikara tanabe japan wrestling,1
Artur Taymazov,25.0,Uzbekistan,2004,29/08/2004,Wrestling,1,0,0,1,Artur Taymazov 25.0 Uzbekistan 29/08/2004 Wrestling,artur taymazov uzbekistan wrestling,1
Elbrus Tedieiev,29.0,Ukraine,2004,29/08/2004,Wrestling,1,0,0,1,Elbrus Tedieiev 29.0 Ukraine 29/08/2004 Wrestling,elbrus tedieiev ukraine wrestling,1
Georgy Tsurtsumia,23.0,Kazakhstan,2004,29/08/2004,Wrestling,0,1,0,1,Georgy Tsurtsumia 23.0 Kazakhstan 29/08/2004 Wrestling,georgy tsurtsumia kazakhstan wrestling,1
Tonya Verbeek,27.0,Canada,2004,29/08/2004,Wrestling,0,1,0,1,Tonya Verbeek 27.0 Canada 29/08/2004 Wrestling,tonya verbeek canada wrestling,1
Wang Xu,18.0,China,2004,29/08/2004,Wrestling,1,0,0,1,Wang Xu 18.0 China 29/08/2004 Wrestling,wang china wrestling,1
Marko Yli-Hannuksela,30.0,Finland,2004,29/08/2004,Wrestling,0,1,0,1,Marko Yli-Hannuksela 30.0 Finland 29/08/2004 Wrestling,marko yli hannuksela finland wrestling,1
Saori Yoshida,21.0,Japan,2004,29/08/2004,Wrestling,1,0,0,1,Saori Yoshida 21.0 Japan 29/08/2004 Wrestling,saori yoshida japan wrestling,1
Namiq Abdullayev,29.0,Azerbaijan,2000,1/10/2000,Wrestling,1,0,0,1,Namiq Abdullayev 29.0 Azerbaijan 1/10/2000 Wrestling,namiq abdullayev azerbaijan wrestling,1
Filiberto Azcuy,27.0,Cuba,2000,1/10/2000,Wrestling,1,0,0,1,Filiberto Azcuy 27.0 Cuba 1/10/2000 Wrestling,filiberto azcuy cuba wrestling,1
Sándor István Bárdosi,23.0,Hungary,2000,1/10/2000,Wrestling,0,1,0,1,Sándor István Bárdosi 23.0 Hungary 1/10/2000 Wrestling,ndor istv rdosi hungary wrestling,1
Serafim Barzakov,25.0,Bulgaria,2000,1/10/2000,Wrestling,0,1,0,1,Serafim Barzakov 25.0 Bulgaria 1/10/2000 Wrestling,serafim barzakov bulgaria wrestling,1
Islam Bayramukov,29.0,Kazakhstan,2000,1/10/2000,Wrestling,0,1,0,1,Islam Bayramukov 29.0 Kazakhstan 1/10/2000 Wrestling,islam bayramukov kazakhstan wrestling,1
Adem Bereket,27.0,Turkey,2000,1/10/2000,Wrestling,0,0,1,1,Adem Bereket 27.0 Turkey 1/10/2000 Wrestling,adem bereket turkey wrestling,1
Terry Brands,32.0,United States,2000,1/10/2000,Wrestling,0,0,1,1,Terry Brands 32.0 United States 1/10/2000 Wrestling,terry brand united state wrestling,0
Yevhen Buslovych,28.0,Ukraine,2000,1/10/2000,Wrestling,0,1,0,1,Yevhen Buslovych 28.0 Ukraine 1/10/2000 Wrestling,yevhen buslovych ukraine wrestling,1
Ak'ak'i Chachua,31.0,Georgia,2000,1/10/2000,Wrestling,0,0,1,1,Ak'ak'i Chachua 31.0 Georgia 1/10/2000 Wrestling,chachua georgia wrestling,1
Ali Reza Dabir,23.0,Iran,2000,1/10/2000,Wrestling,1,0,0,1,Ali Reza Dabir 23.0 Iran 1/10/2000 Wrestling,ali reza dabir iran wrestling,1
Dmitry Debelka,24.0,Belarus,2000,1/10/2000,Wrestling,0,0,1,1,Dmitry Debelka 24.0 Belarus 1/10/2000 Wrestling,dmitry debelka belarus wrestling,1
Rulon Gardner,29.0,United States,2000,1/10/2000,Wrestling,1,0,0,1,Rulon Gardner 29.0 United States 1/10/2000 Wrestling,rulon gardner united state wrestling,0
Arsen Gitinov,23.0,Russia,2000,1/10/2000,Wrestling,0,1,0,1,Arsen Gitinov 23.0 Russia 1/10/2000 Wrestling,arsen gitinov russia wrestling,1
Aleksey Glushkov,25.0,Russia,2000,1/10/2000,Wrestling,0,0,1,1,Aleksey Glushkov 25.0 Russia 1/10/2000 Wrestling,aleksey glushkov russia wrestling,1
Sammie Henson,29.0,United States,2000,1/10/2000,Wrestling,0,1,0,1,Sammie Henson 29.0 United States 1/10/2000 Wrestling,sammie henson united state wrestling,0
Mogamed Ibragimov,26.0,Macedonia,2000,1/10/2000,Wrestling,0,0,1,1,Mogamed Ibragimov 26.0 Macedonia 1/10/2000 Wrestling,mogamed ibragimov macedonia wrestling,1
Daniel Igali,26.0,Canada,2000,1/10/2000,Wrestling,1,0,0,1,Daniel Igali 26.0 Canada 1/10/2000 Wrestling,daniel igali canada wrestling,1
Jang Jae-Seong,25.0,South Korea,2000,1/10/2000,Wrestling,0,0,1,1,Jang Jae-Seong 25.0 South Korea 1/10/2000 Wrestling,jang jae seong south korea wrestling,1
Eldar K'urt'anidze,28.0,Georgia,2000,1/10/2000,Wrestling,0,0,1,1,Eldar K'urt'anidze 28.0 Georgia 1/10/2000 Wrestling,eldar urt anidze georgia wrestling,1
Kang Yong-Gyun,26.0,North Korea,2000,1/10/2000,Wrestling,0,0,1,1,Kang Yong-Gyun 26.0 North Korea 1/10/2000 Wrestling,kang yong gyun north korea wrestling,1
Amiran Kardanov,24.0,Greece,2000,1/10/2000,Wrestling,0,0,1,1,Amiran Kardanov 24.0 Greece 1/10/2000 Wrestling,amiran kardanov greece wrestling,1
Murat Kardanov,29.0,Russia,2000,1/10/2000,Wrestling,1,0,0,1,Murat Kardanov 29.0 Russia 1/10/2000 Wrestling,murat kardanov russia wrestling,1
Aleksandr Karelin,33.0,Russia,2000,1/10/2000,Wrestling,0,1,0,1,Aleksandr Karelin 33.0 Russia 1/10/2000 Wrestling,aleksandr karelin russia wrestling,1
Kim In-Seop,27.0,South Korea,2000,1/10/2000,Wrestling,0,1,0,1,Kim In-Seop 27.0 South Korea 1/10/2000 Wrestling,kim seop south korea wrestling,1
Matt Lindland,30.0,United States,2000,1/10/2000,Wrestling,0,1,0,1,Matt Lindland 30.0 United States 1/10/2000 Wrestling,matt lindland united state wrestling,0
Mikael Ljungberg,30.0,Sweden,2000,1/10/2000,Wrestling,1,0,0,1,Mikael Ljungberg 30.0 Sweden 1/10/2000 Wrestling,mikael ljungberg sweden wrestling,1
Garrett Lowney,20.0,United States,2000,1/10/2000,Wrestling,0,0,1,1,Garrett Lowney 20.0 United States 1/10/2000 Wrestling,garrett lowney united state wrestling,0
Juan Luis Marén,29.0,Cuba,2000,1/10/2000,Wrestling,0,1,0,1,Juan Luis Marén 29.0 Cuba 1/10/2000 Wrestling,juan luis mar cuba wrestling,1
Lincoln McIlravy,26.0,United States,2000,1/10/2000,Wrestling,0,0,1,1,Lincoln McIlravy 26.0 United States 1/10/2000 Wrestling,lincoln mcilravy united state wrestling,0
Mun Ui-Je,25.0,South Korea,2000,1/10/2000,Wrestling,0,1,0,1,Mun Ui-Je 25.0 South Korea 1/10/2000 Wrestling,mun south korea wrestling,1
Sagid Murtazaliyev,26.0,Russia,2000,1/10/2000,Wrestling,1,0,0,1,Sagid Murtazaliyev 26.0 Russia 1/10/2000 Wrestling,sagid murtazaliyev russia wrestling,1
David Musulbes,28.0,Russia,2000,1/10/2000,Wrestling,1,0,0,1,David Musulbes 28.0 Russia 1/10/2000 Wrestling,david musulbes russia wrestling,1
Katsuhiko Nagata,26.0,Japan,2000,1/10/2000,Wrestling,0,1,0,1,Katsuhiko Nagata 26.0 Japan 1/10/2000 Wrestling,katsuhiko nagata japan wrestling,1
Armen Nazaryan,26.0,Bulgaria,2000,1/10/2000,Wrestling,1,0,0,1,Armen Nazaryan 26.0 Bulgaria 1/10/2000 Wrestling,armen nazaryan bulgaria wrestling,1
Lázaro Rivas,25.0,Cuba,2000,1/10/2000,Wrestling,0,1,0,1,Lázaro Rivas 25.0 Cuba 1/10/2000 Wrestling,zaro rivas cuba wrestling,1
Alexis Rodríguez,22.0,Cuba,2000,1/10/2000,Wrestling,0,0,1,1,Alexis Rodríguez 22.0 Cuba 1/10/2000 Wrestling,alexis rodr guez cuba wrestling,1
Yoel Romero,23.0,Cuba,2000,1/10/2000,Wrestling,0,1,0,1,Yoel Romero 23.0 Cuba 1/10/2000 Wrestling,yoel romero cuba wrestling,1
David Saldadze,22.0,Ukraine,2000,1/10/2000,Wrestling,0,1,0,1,David Saldadze 22.0 Ukraine 1/10/2000 Wrestling,david saldadze ukraine wrestling,1
Varteres Samurgashev,21.0,Russia,2000,1/10/2000,Wrestling,1,0,0,1,Varteres Samurgashev 21.0 Russia 1/10/2000 Wrestling,varteres samurgashev russia wrestling,1
Adam Saytiyev,22.0,Russia,2000,1/10/2000,Wrestling,1,0,0,1,Adam Saytiyev 22.0 Russia 1/10/2000 Wrestling,adam saytiyev russia wrestling,1
Sheng Zetian,27.0,China,2000,1/10/2000,Wrestling,0,0,1,1,Sheng Zetian 27.0 China 1/10/2000 Wrestling,sheng zetian china wrestling,1
Sim Gwon-Ho,27.0,South Korea,2000,1/10/2000,Wrestling,1,0,0,1,Sim Gwon-Ho 27.0 South Korea 1/10/2000 Wrestling,sim gwon south korea wrestling,1
Brandon Slay,24.0,United States,2000,1/10/2000,Wrestling,1,0,0,1,Brandon Slay 24.0 United States 1/10/2000 Wrestling,brandon slay united state wrestling,0
Artur Taymazov,21.0,Uzbekistan,2000,1/10/2000,Wrestling,0,1,0,1,Artur Taymazov 21.0 Uzbekistan 1/10/2000 Wrestling,artur taymazov uzbekistan wrestling,1
Murad Umakhanov,23.0,Russia,2000,1/10/2000,Wrestling,1,0,0,1,Murad Umakhanov 23.0 Russia 1/10/2000 Wrestling,murad umakhanov russia wrestling,1
Mukhran Vakht'angadze,27.0,Georgia,2000,1/10/2000,Wrestling,0,0,1,1,Mukhran Vakht'angadze 27.0 Georgia 1/10/2000 Wrestling,mukhran vakht angadze georgia wrestling,1
Hamza Yerlikaya,24.0,Turkey,2000,1/10/2000,Wrestling,1,0,0,1,Hamza Yerlikaya 24.0 Turkey 1/10/2000 Wrestling,hamza yerlikaya turkey wrestling,1
Marko Yli-Hannuksela,26.0,Finland,2000,1/10/2000,Wrestling,0,0,1,1,Marko Yli-Hannuksela 26.0 Finland 1/10/2000 Wrestling,marko yli hannuksela finland wrestling,1
Ruslan Albegov,24.0,Russia,2012,12/8/2012,Weightlifting,0,0,1,1,Ruslan Albegov 24.0 Russia 12/8/2012 Weightlifting,ruslan albegov russia weightlifting,1
Sajjad Anoushiravani,28.0,Iran,2012,12/8/2012,Weightlifting,0,1,0,1,Sajjad Anoushiravani 28.0 Iran 12/8/2012 Weightlifting,sajjad anoushiravani iran weightlifting,1
Apti Aukhadov,19.0,Russia,2012,12/8/2012,Weightlifting,0,1,0,1,Apti Aukhadov 19.0 Russia 12/8/2012 Weightlifting,apti aukhadov russia weightlifting,1
Bartlomiej Bonk,27.0,Poland,2012,12/8/2012,Weightlifting,0,0,1,1,Bartlomiej Bonk 27.0 Poland 12/8/2012 Weightlifting,bartlomiej bonk poland weightlifting,1
Iván Cambar,28.0,Cuba,2012,12/8/2012,Weightlifting,0,0,1,1,Iván Cambar 28.0 Cuba 12/8/2012 Weightlifting,cambar cuba weightlifting,1
Zulfiya Chinshanlo,19.0,Kazakhstan,2012,12/8/2012,Weightlifting,1,0,0,1,Zulfiya Chinshanlo 19.0 Kazakhstan 12/8/2012 Weightlifting,zulfiya chinshanlo kazakhstan weightlifting,1
Anatolii Cîrîcu,23.0,Moldova,2012,12/8/2012,Weightlifting,0,0,1,1,Anatolii Cîrîcu 23.0 Moldova 12/8/2012 Weightlifting,anatolii moldova weightlifting,1
Roxana Cocos,23.0,Romania,2012,12/8/2012,Weightlifting,0,1,0,1,Roxana Cocos 23.0 Romania 12/8/2012 Weightlifting,roxana coco romania weightlifting,1
Oscar Figueroa,29.0,Colombia,2012,12/8/2012,Weightlifting,0,1,0,1,Oscar Figueroa 29.0 Colombia 12/8/2012 Weightlifting,oscar figueroa colombia weightlifting,1
Christine Girard,27.0,Canada,2012,12/8/2012,Weightlifting,0,0,1,1,Christine Girard 27.0 Canada 12/8/2012 Weightlifting,christine girard canada weightlifting,1
Hsu Shu-Ching,21.0,Chinese Taipei,2012,12/8/2012,Weightlifting,0,1,0,1,Hsu Shu-Ching 21.0 Chinese Taipei 12/8/2012 Weightlifting,hsu shu ching chinese taipei weightlifting,1
Ilya Ilyin,24.0,Kazakhstan,2012,12/8/2012,Weightlifting,1,0,0,1,Ilya Ilyin 24.0 Kazakhstan 12/8/2012 Weightlifting,ilya ilyin kazakhstan weightlifting,1
