mission,company,location,date,time,rocket,price,successful,original_text,clean_text,cluster,PCA_1,PCA_2,cluster_label
Echostar 21,ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2017-06-08,3:45:00,Proton-M/Briz-M,2740000,True,Echostar 21,echostar,6,-0.09266333671955887,-0.037830983033789144,crs / gsat / apollo
GSAT-19,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2017-06-05,11:58:00,GSLV Mk III,24260000,True,GSAT-19,gsat,6,-0.10065375256327912,-0.04715839800507049,crs / gsat / apollo
CRS-11,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-06-03,21:07:00,Falcon 9 Block 3,2300000,True,CRS-11,crs,6,-0.11235985642803023,-0.06625467006024273,crs / gsat / apollo
"ViaSat 2, Eutelsat 172B",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2017-06-01,23:45:00,Ariane 5 ECA,15520000,True,"ViaSat 2, Eutelsat 172B",viasat eutelsat b,6,-0.09178004270937266,-0.03603065549303131,crs / gsat / apollo
It's a Test,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2017-05-25,4:20:00,Electron,19200000,False,It's a Test,its a test,6,-0.09099135191146084,-0.036196183250933385,crs / gsat / apollo
SES-15,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2017-05-18,11:54:00,Soyuz ST-A/Fregat-M,16030000,True,SES-15,ses,6,-0.09300305358238405,-0.03818291332070852,crs / gsat / apollo
Inmarsat-5 F4,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-05-15,23:21:00,Falcon 9 Block 3,11400000,True,Inmarsat-5 F4,inmarsat f,6,-0.09186283359132091,-0.037020100644630606,crs / gsat / apollo
GSAT-9,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2017-05-05,11:27:00,GSLV Mk II,15400000,True,GSAT-9,gsat,6,-0.10065375256327912,-0.04715839800507049,crs / gsat / apollo
"Koreasat 7, SGDC-1",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2017-05-04,21:50:00,Ariane 5 ECA,16910000,True,"Koreasat 7, SGDC-1",koreasat sgdc,6,-0.08846942910321783,-0.03374317501382903,crs / gsat / apollo
NROL-76,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-05-01,11:15:00,Falcon 9 Block 3,17050000,True,NROL-76,nrol,6,-0.09288118630542545,-0.03805309132376421,crs / gsat / apollo
Soyuz MS-04 (50S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2017-04-20,7:13:00,Soyuz FG,13770000,True,Soyuz MS-04 (50S),soyuz ms s,5,-0.11089651534418357,-0.06483636749574567,soyuz / soyuz ms / ms
SES-10,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-03-30,22:27:00,Falcon 9 Block 3,8360000,True,SES-10,ses,6,-0.09300305358238405,-0.03818291332070852,crs / gsat / apollo
Echostar 23,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-03-16,6:00:00,Falcon 9 Block 3,23280000,True,Echostar 23,echostar,6,-0.09266333671955887,-0.037830983033789144,crs / gsat / apollo
Sentinel 2B,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2017-03-07,1:49:00,Vega,9800000,True,Sentinel 2B,sentinel b,6,-0.08960808702502586,-0.03478858152679935,crs / gsat / apollo
Progress MS-05 (66P),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2017-02-22,5:58:00,Soyuz U,10030000,True,Progress MS-05 (66P),progress ms p,6,-0.10953845686380043,-0.06277336541434132,crs / gsat / apollo
CRS-10,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2017-02-19,14:39:00,Falcon 9 Block 3,15500000,True,CRS-10,crs,6,-0.11235985642803023,-0.06625467006024273,crs / gsat / apollo
Cartosat-2D & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2017-02-15,3:58:00,PSLV-XL,11820000,True,Cartosat-2D & Rideshares,cartosat d rideshares,6,-0.09526589210152048,-0.0406436604596316,crs / gsat / apollo
