mission,company,location,date,time,rocket,price,successful,original_text,clean_text,cluster,PCA_1,PCA_2,cluster_label
CRS SpX-25,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-07-15,0:44:00,Falcon 9 Block 5,12480000,True,CRS SpX-25,crs spx,6,-0.10144471462134604,-0.051258163691873464,crs / gsat / apollo
LARES 2 & Cubesats,ESA,"ELV-1, Guiana Space Centre, French Guiana, France",2022-07-13,13:13:00,Vega C,4470000,True,LARES 2 & Cubesats,lares cubesats,6,-0.08783348880228281,-0.03315208146924834,crs / gsat / apollo
Wise One Looks Ahead (NROL-162),Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2022-07-13,6:30:00,Electron/Curie,9750000,True,Wise One Looks Ahead (NROL-162),wise one looks ahead nrol,6,-0.08927054707251422,-0.034569573793227025,crs / gsat / apollo
TROPICS Flight 1,Astra,"SLC-46, Cape Canaveral SFS, Florida, USA",2022-07-12,17:43:00,Rocket 3,3670000,False,TROPICS Flight 1,tropics flight,6,-0.08942506623336864,-0.03470448317759712,crs / gsat / apollo
Starlink Group 3-1,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-07-11,1:39:00,Falcon 9 Block 5,11590000,True,Starlink Group 3-1,starlink group,4,-0.12029150234464368,-0.09475304497510524,starlink / starlink group / group
Starlink Group 4-21,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-07-07,13:11:00,Falcon 9 Block 5,2330000,False,Starlink Group 4-21,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
"DS-EO, NeuSAR, SCOOB-I & POEM",ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2022-06-30,12:32:00,PSLV-CA,21050000,True,"DS-EO, NeuSAR, SCOOB-I & POEM",dseo neusar scoobi poem,6,-0.08748149034646797,-0.03283651036621305,crs / gsat / apollo
SES-22,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-06-29,21:04:00,Falcon 9 Block 5,16350000,True,SES-22,ses,6,-0.09300305358238405,-0.03818291332070852,crs / gsat / apollo
CAPSTONE,Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",2022-06-28,9:55:00,Electron/Photon,3630000,True,CAPSTONE,capstone,6,-0.0874814903464691,-0.03283651036638082,crs / gsat / apollo
Measat-3d & GSAT-24,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2022-06-22,21:50:00,Ariane 5 ECA,1020000,True,Measat-3d & GSAT-24,measat d gsat,6,-0.09431558642025085,-0.04015526544886211,crs / gsat / apollo
Globalstar FM15 & USA 328 to 331,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-06-19,4:27:00,Falcon 9 Block 5,24900000,True,Globalstar FM15 & USA 328 to 331,globalstar fm usa to,6,-0.09294218775972253,-0.03936133243257683,crs / gsat / apollo
SARah 1,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-06-18,14:19:00,Falcon 9 Block 5,19560000,True,SARah 1,sarah,6,-0.08748149034646957,-0.03283651036659026,crs / gsat / apollo
Starlink Group 4-19,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-06-17,16:09:00,Falcon 9 Block 5,23140000,True,Starlink Group 4-19,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
Nilesat-301,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-06-08,21:04:00,Falcon 9 Block 5,19220000,True,Nilesat-301,nilesat,6,-0.08869274391639106,-0.0339213854912321,crs / gsat / apollo
Progress MS-20,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2022-06-03,9:32:00,Soyuz 2.1a,12620000,True,Progress MS-20,progress ms,6,-0.10953845686380043,-0.06277336541434132,crs / gsat / apollo
Transporter 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-05-25,18:35:00,Falcon 9 Block 5,16680000,True,Transporter 5,transporter,6,-0.09044199724634253,-0.03560488603923416,crs / gsat / apollo
Starlink Group 4-18,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-05-18,10:59:00,Falcon 9 Block 5,2250000,True,Starlink Group 4-18,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
Starlink Group 4-15,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-05-14,20:40:00,Falcon 9 Block 5,24470000,True,Starlink Group 4-15,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
Starlink Group 4-13,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-05-13,22:07:00,Falcon 9 Block 5,20390000,True,Starlink Group 4-13,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
Starlink Group 4-17,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-05-06,9:42:00,Falcon 9 Block 5,20100000,True,Starlink Group 4-17,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
There and Back Again,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2022-05-02,22:49:00,Electron/Curie,1670000,True,There and Back Again,there and back again,6,-0.08677140169173386,-0.03221041939492883,crs / gsat / apollo
Starlink Group 4-16,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-04-29,21:27:00,Falcon 9 Block 5,19830000,True,Starlink Group 4-16,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
SpaceX Crew-4,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-04-27,7:52:00,Falcon 9 Block 5,5970000,True,SpaceX Crew-4,spacex crew,6,-0.09026939328965562,-0.0354283612979317,crs / gsat / apollo
Starlink Group 4-14,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-04-21,17:51:00,Falcon 9 Block 5,24270000,True,Starlink Group 4-14,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
NROL-85,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-04-17,13:13:00,Falcon 9 Block 5,17380000,True,NROL-85,nrol,6,-0.09288118630542545,-0.03805309132376421,crs / gsat / apollo
Axiom Mission 1 (Ax-1),SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-04-08,15:17:00,Falcon 9 Block 5,4600000,True,Axiom Mission 1 (Ax-1),axiom mission ax,6,-0.08823320759954807,-0.033524624019997916,crs / gsat / apollo
Without Mission a Beat,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2022-04-02,12:41:00,Electron/Curie,7880000,True,Without Mission a Beat,without mission a beat,6,-0.08843155353025892,-0.033706245249669704,crs / gsat / apollo
Transporter 4,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-04-01,16:24:00,Falcon 9 Block 5,15460000,True,Transporter 4,transporter,6,-0.09044199724634253,-0.03560488603923416,crs / gsat / apollo
Starlink Group 4-12,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-03-19,4:42:00,Falcon 9 Block 5,6980000,True,Starlink Group 4-12,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
Soyuz MS-21,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2022-03-18,15:55:00,Soyuz 2.1a,18800000,True,Soyuz MS-21,soyuz ms,5,-0.11089651534418357,-0.06483636749574567,soyuz / soyuz ms / ms
Spaceflight Astra-1,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2022-03-15,4:22:00,Rocket 3,3260000,True,Spaceflight Astra-1,spaceflight astra,6,-0.0904021155353068,-0.03564091841039674,crs / gsat / apollo
Starlink Group 4-10,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-03-09,13:45:00,Falcon 9 Block 5,22350000,True,Starlink Group 4-10,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
Starlink Group 4-9,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-03-03,14:25:00,Falcon 9 Block 5,19790000,True,Starlink Group 4-9,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
The Owl’s Night Continues,Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",2022-02-28,20:37:00,Electron/Curie,12100000,True,The Owl’s Night Continues,the owl’s night continues,6,-0.08789376061419459,-0.03320646847336687,crs / gsat / apollo
Starlink Group 4-11,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-02-25,17:12:00,Falcon 9 Block 5,14730000,True,Starlink Group 4-11,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
Starlink Group 4-8,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-02-21,14:44:00,Falcon 9 Block 5,19300000,True,Starlink Group 4-8,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
CRS NG-17,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2022-02-19,17:40:00,Antares 230+,6660000,True,CRS NG-17,crs ng,6,-0.10401806292478731,-0.05464786097542297,crs / gsat / apollo
Progress MS-19,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2022-02-15,4:25:00,Soyuz 2.1a,23190000,True,Progress MS-19,progress ms,6,-0.10953845686380043,-0.06277336541434132,crs / gsat / apollo
EOS-04 & Others,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2022-02-14,0:29:00,PSLV-XL,20230000,True,EOS-04 & Others,eos others,6,-0.08866015494689797,-0.03393088206160377,crs / gsat / apollo
VCLS Demo-2A,Astra,"SLC-46, Cape Canaveral SFS, Florida, USA",2022-02-10,20:00:00,Rocket 3,4610000,False,VCLS Demo-2A,vcls demo a,6,-0.08808600772973985,-0.03339356668843686,crs / gsat / apollo
OneWeb #13,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2022-02-10,18:09:00,Soyuz ST-B/Fregat-MT,23790000,True,OneWeb #13,oneweb,6,-0.08968324285238423,-0.03486986419011689,crs / gsat / apollo
Starlink Group 4-7,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-02-03,18:13:00,Falcon 9 Block 5,6780000,True,Starlink Group 4-7,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
NROL-87,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-02-02,20:27:00,Falcon 9 Block 5,2690000,True,NROL-87,nrol,6,-0.09288118630542545,-0.03805309132376421,crs / gsat / apollo
CSG-2,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-01-31,23:11:00,Falcon 9 Block 5,4300000,True,CSG-2,csg,6,-0.08788140130689377,-0.033195307450367875,crs / gsat / apollo
Starlink Group 4-6,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-01-19,2:02:00,Falcon 9 Block 5,11260000,True,Starlink Group 4-6,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
Transporter 3,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-01-13,15:25:00,Falcon 9 Block 5,23170000,True,Transporter 3,transporter,6,-0.09044199724634253,-0.03560488603923416,crs / gsat / apollo
Starlink Group 4-5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-01-06,21:49:00,Falcon 9 Block 5,12980000,True,Starlink Group 4-5,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
James Webb Space Telescope (JWST),Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021-12-25,12:20:00,Ariane 5 ECA,12120000,True,James Webb Space Telescope (JWST),james webb space telescope jwst,6,-0.08779495827231398,-0.03314422629524967,crs / gsat / apollo
CRS SpX-24,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-12-21,10:07:00,Falcon 9 Block 5,18680000,True,CRS SpX-24,crs spx,6,-0.10144471462134505,-0.051258163691872916,crs / gsat / apollo
Türksat 5B,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-12-19,3:58:00,Falcon 9 Block 5,11810000,True,Türksat 5B,türksat b,6,-0.08820329681988454,-0.033487424665053396,crs / gsat / apollo
Starlink Group 4-4,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021-12-18,12:41:00,Falcon 9 Block 5,3050000,True,Starlink Group 4-4,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
Ekspress-AMU3 & AMU7,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2021-12-13,12:07:00,Proton-M/Briz-M,7240000,False,Ekspress-AMU3 & AMU7,ekspressamu amu,6,-0.08748149034647378,-0.03283651036707745,crs / gsat / apollo
IXPE,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-12-09,6:00:00,Falcon 9 Block 5,18290000,True,IXPE,ixpe,6,-0.08748149034647051,-0.032836510365256505,crs / gsat / apollo
A Data With Destiny,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021-12-09,0:02:00,Electron/Curie,9560000,True,A Data With Destiny,a data with destiny,6,-0.08748149034647075,-0.03283651036710994,crs / gsat / apollo
Soyuz MS-20 / Space Adventures,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-12-08,7:38:00,Soyuz 2.1a,4900000,True,Soyuz MS-20 / Space Adventures,soyuz ms space adventures,5,-0.09987805427066636,-0.04965181490889639,soyuz / soyuz ms / ms
Galileo FOC FM23-FM24,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2021-12-05,0:19:00,Soyuz ST-B/Fregat-MT,17810000,True,Galileo FOC FM23-FM24,galileo foc fm fm,1,-0.09775334192691339,-0.04368849342219669,fm / fm fm / galileo
Starlink Group 4-3 & BlackSky,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-12-02,23:12:00,Falcon 9 Block 5,2760000,True,Starlink Group 4-3 & BlackSky,starlink group blacksky,4,-0.10873664204900985,-0.07290484427892002,starlink / starlink group / group
Progress M-UM Prichal,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-11-24,13:06:00,Soyuz 2.1b,3430000,True,Progress M-UM Prichal,progress mum prichal,6,-0.09102292044309511,-0.03760011706385694,crs / gsat / apollo
DART,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021-11-24,6:21:00,Falcon 9 Block 5,5890000,True,DART,dart,6,-0.08820329681969682,-0.0334874247466501,crs / gsat / apollo
STP-27AD2,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2021-11-20,6:16:00,Rocket 3,8540000,True,STP-27AD2,stp ad,6,-0.0890093356502002,-0.034232188383034136,crs / gsat / apollo
Love At First Insight,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021-11-18,1:38:00,Electron/Curie,10550000,True,Love At First Insight,love at first insight,6,-0.08748149034647026,-0.03283651036670702,crs / gsat / apollo
"CERES 1, 2 & 3",Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021-11-16,9:27:00,Vega,1480000,True,"CERES 1, 2 & 3",ceres,6,-0.08748149034646986,-0.03283651036732184,crs / gsat / apollo
Starlink Group 4-1,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-11-13,12:19:00,Falcon 9 Block 5,1790000,True,Starlink Group 4-1,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
SpaceX Crew-3,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-11-11,2:03:00,Falcon 9 Block 5,7360000,True,SpaceX Crew-3,spacex crew,6,-0.09026939328965562,-0.0354283612979317,crs / gsat / apollo
Progress MS-18,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-10-28,0:00:00,Soyuz 2.1a,18170000,True,Progress MS-18,progress ms,6,-0.10953845686380043,-0.06277336541434132,crs / gsat / apollo
SES-17 & Syracuse-4A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021-10-24,2:10:00,Ariane 5 ECA,15460000,True,SES-17 & Syracuse-4A,ses syracuse a,6,-0.09090832638392676,-0.03615495520764866,crs / gsat / apollo
Soyuz MS-19,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-10-05,8:55:00,Soyuz 2.1a,22510000,True,Soyuz MS-19,soyuz ms,5,-0.11089651534418357,-0.06483636749574567,soyuz / soyuz ms / ms
Inspiration4,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-09-16,0:02:00,Falcon 9 Block 5,20220000,True,Inspiration4,inspiration,6,-0.08748149034647086,-0.03283651036713177,crs / gsat / apollo
Starlink Group 2-1,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021-09-14,3:55:00,Falcon 9 Block 5,8730000,True,Starlink Group 2-1,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
CRS SpX-23,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-08-29,7:14:00,Falcon 9 Block 5,15900000,True,CRS SpX-23,crs spx,6,-0.10144471462134505,-0.051258163691872916,crs / gsat / apollo
STP-27AD1,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2021-08-28,22:35:00,Rocket 3,15510000,False,STP-27AD1,stp ad,6,-0.0890093356502002,-0.034232188383034136,crs / gsat / apollo
"Pléiades-Néo 4, BRO-4 & Others",Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021-08-17,1:47:00,Vega,17120000,True,"Pléiades-Néo 4, BRO-4 & Others",pléiadesnéo bro others,6,-0.08770813898287881,-0.033040017158520105,crs / gsat / apollo
EOS-03,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2021-08-12,0:13:00,GSLV Mk II,1930000,False,EOS-03,eos,6,-0.08866015494689797,-0.03393088206160377,crs / gsat / apollo
CRS NG-16,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2021-08-10,22:01:00,Antares 230+,10110000,True,CRS NG-16,crs ng,6,-0.10401806292478731,-0.05464786097542297,crs / gsat / apollo
Eutelsat Quantum & Star One D2,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021-07-30,21:00:00,Ariane 5 ECA,23760000,True,Eutelsat Quantum & Star One D2,eutelsat quantum star one d,6,-0.09163609538423444,-0.03608746993751418,crs / gsat / apollo
It’s a Little Chile Up Here,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021-07-29,6:00:00,Electron/Curie,4000000,True,It’s a Little Chile Up Here,it’s a little chile up here,6,-0.08748149034647075,-0.0328365103659281,crs / gsat / apollo
MLM-U Nauka,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2021-07-21,14:58:00,Proton-M,5330000,True,MLM-U Nauka,mlmu nauka,6,-0.08748149034647036,-0.03283651036589915,crs / gsat / apollo
Transporter 2,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-06-30,19:31:00,Falcon 9 Block 5,12950000,True,Transporter 2,transporter,6,-0.09044199724634253,-0.03560488603923416,crs / gsat / apollo
Progress MS-17,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-06-29,23:27:00,Soyuz 2.1a,12560000,True,Progress MS-17,progress ms,6,-0.10953845686380043,-0.06277336541434132,crs / gsat / apollo
GPS III-5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-06-17,16:09:00,Falcon 9 Block 5,13770000,True,GPS III-5,gps iii,6,-0.09374216369924153,-0.0392336098775046,crs / gsat / apollo
NROL-111,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2021-06-15,13:35:00,Minotaur I,14560000,True,NROL-111,nrol,6,-0.09288118630542545,-0.03805309132376421,crs / gsat / apollo
Odyssey (TacRL-2),Northrop,"Stargazer, Vandenberg SFB, California, USA",2021-06-13,8:11:00,Pegasus XL,14680000,True,Odyssey (TacRL-2),odyssey tacrl,6,-0.08748149034646892,-0.032836510366666606,crs / gsat / apollo
SXM-8,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-06-06,4:26:00,Falcon 9 Block 5,1540000,True,SXM-8,sxm,6,-0.08820329682000148,-0.03348742474888343,crs / gsat / apollo
CRS SpX-22,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-06-03,17:29:00,Falcon 9 Block 5,20880000,True,CRS SpX-22,crs spx,6,-0.10144471462134505,-0.051258163691872916,crs / gsat / apollo
Starlink V1 L28,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-05-26,18:59:00,Falcon 9 Block 5,3420000,True,Starlink V1 L28,starlink v l,4,-0.12338918703245284,-0.10123192340543531,starlink / starlink group / group
Starlink V1 L26 & Rideshares,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-05-15,22:56:00,Falcon 9 Block 5,19340000,True,Starlink V1 L26 & Rideshares,starlink v l rideshares,6,-0.10700396783509812,-0.0665250653619445,crs / gsat / apollo
Running Out of Toes,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021-05-15,11:11:00,Electron/Curie,4050000,False,Running Out of Toes,running out of toes,6,-0.0877034189273199,-0.03303506388276515,crs / gsat / apollo
Starlink V1 L27,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-05-09,6:42:00,Falcon 9 Block 5,16080000,True,Starlink V1 L27,starlink v l,4,-0.12338918703245284,-0.10123192340543531,starlink / starlink group / group
10-Kilometer Test Flight,SpaceX,"Suborbital Pad A, Starbase, Texas, USA",2021-05-05,22:25:00,Starship Prototype,8370000,True,10-Kilometer Test Flight,kilometer test flight,6,-0.09318474508454555,-0.0383312959286815,crs / gsat / apollo
Starlink V1 L25,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-05-04,19:01:00,Falcon 9 Block 5,11880000,True,Starlink V1 L25,starlink v l,4,-0.12338918703245284,-0.10123192340543531,starlink / starlink group / group
Starlink V1 L24,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-04-29,3:44:00,Falcon 9 Block 5,15900000,True,Starlink V1 L24,starlink v l,4,-0.12338918703245284,-0.10123192340543531,starlink / starlink group / group
Pléiades-Néo 3 & SSMS n°2,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021-04-29,1:50:00,Vega,19420000,True,Pléiades-Néo 3 & SSMS n°2,pléiadesnéo ssms n°,6,-0.08793362524013201,-0.03324106215037148,crs / gsat / apollo
SpaceX Crew-2,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-04-23,9:49:00,Falcon 9 Block 5,1760000,True,SpaceX Crew-2,spacex crew,6,-0.09026939328965562,-0.0354283612979317,crs / gsat / apollo
Soyuz MS-18,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-04-09,7:42:00,Soyuz 2.1a,23060000,True,Soyuz MS-18,soyuz ms,5,-0.11089651534418357,-0.06483636749574567,soyuz / soyuz ms / ms
Starlink V1 L23,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-04-07,16:34:00,Falcon 9 Block 5,14370000,True,Starlink V1 L23,starlink v l,4,-0.12338918703245284,-0.10123192340543531,starlink / starlink group / group
10-Kilometer Test Flight,SpaceX,"Suborbital Pad B, Starbase, Texas, USA",2021-03-30,13:00:00,Starship Prototype,20670000,False,10-Kilometer Test Flight,kilometer test flight,6,-0.09318474508454555,-0.0383312959286815,crs / gsat / apollo
Starlink V1 L22,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-03-24,8:28:00,Falcon 9 Block 5,19600000,True,Starlink V1 L22,starlink v l,4,-0.12338918703245284,-0.10123192340543531,starlink / starlink group / group
They Go Up So Fast,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021-03-22,22:30:00,Electron/Photon,3640000,True,They Go Up So Fast,they go up so fast,6,-0.08820329681971063,-0.03348742467046072,crs / gsat / apollo
Starlink V1 L21,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-03-14,10:01:00,Falcon 9 Block 5,9930000,True,Starlink V1 L21,starlink v l,4,-0.12338918703245284,-0.10123192340543531,starlink / starlink group / group
Starlink V1 L20,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-03-11,8:13:00,Falcon 9 Block 5,18970000,True,Starlink V1 L20,starlink v l,4,-0.12338918703245284,-0.10123192340543531,starlink / starlink group / group
Starlink V1 L17,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-03-04,8:24:00,Falcon 9 Block 5,7230000,True,Starlink V1 L17,starlink v l,4,-0.12338918703245284,-0.10123192340543531,starlink / starlink group / group
10-Kilometer Test Flight,SpaceX,"Suborbital Pad A, Starbase, Texas, USA",2021-03-03,23:14:00,Starship Prototype,10450000,False,10-Kilometer Test Flight,kilometer test flight,6,-0.09318474508454555,-0.0383312959286815,crs / gsat / apollo
Arktika-M n°1,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-02-28,6:55:00,Soyuz 2.1b/Fregat-M,20150000,True,Arktika-M n°1,arktikam n°,6,-0.08748149034647046,-0.03283651036701453,crs / gsat / apollo
Amazônia 1 & Others,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2021-02-28,4:54:00,PSLV-DL,19340000,True,Amazônia 1 & Others,amazônia others,6,-0.08748149034647126,-0.032836510366842146,crs / gsat / apollo
CRS NG-15,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2021-02-20,17:36:00,Antares 230+,17810000,True,CRS NG-15,crs ng,6,-0.10401806292478731,-0.05464786097542297,crs / gsat / apollo
Starlink V1 L19,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-02-16,3:59:00,Falcon 9 Block 5,1760000,True,Starlink V1 L19,starlink v l,4,-0.12338918703245284,-0.10123192340543531,starlink / starlink group / group
Progress MS-16,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-02-15,4:45:00,Soyuz 2.1a,11670000,True,Progress MS-16,progress ms,6,-0.10953845686380043,-0.06277336541434132,crs / gsat / apollo
Starlink V1 L18,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-02-04,6:19:00,Falcon 9 Block 5,1640000,True,Starlink V1 L18,starlink v l,4,-0.12338918703245284,-0.10123192340543531,starlink / starlink group / group
10-Kilometer Test Flight,SpaceX,"Suborbital Pad B, Starbase, Texas, USA",2021-02-02,20:25:00,Starship Prototype,7750000,False,10-Kilometer Test Flight,kilometer test flight,6,-0.09318474508454555,-0.0383312959286815,crs / gsat / apollo
Transporter 1,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-01-24,15:00:00,Falcon 9 Block 5,8190000,True,Transporter 1,transporter,6,-0.09044199724634253,-0.03560488603923416,crs / gsat / apollo
Starlink V1 L16,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-01-20,13:02:00,Falcon 9 Block 5,2870000,True,Starlink V1 L16,starlink v l,4,-0.12338918703245284,-0.10123192340543531,starlink / starlink group / group
Another One Leaves The Crust,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021-01-20,7:26:00,Electron/Curie,20640000,True,Another One Leaves The Crust,another one leaves the crust,6,-0.08748149034647244,-0.03283651036574993,crs / gsat / apollo
Türksat 5A,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-01-08,2:15:00,Falcon 9 Block 5,6220000,True,Türksat 5A,türksat a,6,-0.08820329681988454,-0.033487424665053396,crs / gsat / apollo
CSO-2,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2020-12-29,16:42:00,Soyuz ST-A/Fregat-M,16200000,True,CSO-2,cso,6,-0.08820329681982306,-0.033487424690995575,crs / gsat / apollo
